CUSTOMER_ID,DATE_OF_SESSION,PRODUCT_ID,PRICE,RECORD_SOURCE,LOAD_DATETIME
C8,2020-12-10 14:52:58.792 +0000,P38,3627,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C15,2020-12-10 11:46:58.792 +0000,P20,14948,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C32,2020-12-09 21:23:58.792 +0000,P27,12414,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C33,2020-12-10 12:01:58.792 +0000,P30,8623,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C33,2020-12-10 12:01:58.792 +0000,P33,10524,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C33,2020-12-10 12:01:58.792 +0000,P31,7475,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C41,2020-12-10 17:28:58.792 +0000,P41,10865,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C63,2020-12-10 03:59:58.792 +0000,P41,2580,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C68,2020-12-10 15:52:58.792 +0000,P31,3264,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C70,2020-12-10 07:19:58.792 +0000,P42,16455,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C71,2020-12-09 20:28:58.792 +0000,P35,4433,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C71,2020-12-09 20:28:58.792 +0000,P48,19745,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C75,2020-12-10 05:17:58.792 +0000,P01,17176,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C75,2020-12-10 05:17:58.792 +0000,P01,2716,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C75,2020-12-10 05:17:58.792 +0000,P01,19265,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C77,2020-12-09 21:14:58.792 +0000,P25,15616,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C77,2020-12-09 21:14:58.792 +0000,P24,19438,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C78,2020-12-09 22:03:58.792 +0000,P21,15945,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C80,2020-12-10 15:07:58.792 +0000,P28,18665,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C80,2020-12-10 15:07:58.792 +0000,P31,11255,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C80,2020-12-10 15:07:58.792 +0000,P28,12078,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C84,2020-12-10 10:54:58.792 +0000,P32,3523,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C92,2020-12-10 00:01:58.792 +0000,P26,13870,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C92,2020-12-10 00:01:58.792 +0000,P26,16692,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C92,2020-12-10 00:01:58.792 +0000,P25,1661,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C96,2020-12-10 03:12:58.792 +0000,P20,5766,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C96,2020-12-10 03:12:58.792 +0000,P18,18238,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C96,2020-12-10 03:12:58.792 +0000,P22,10107,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C98,2020-12-10 12:23:58.792 +0000,P26,17084,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C98,2020-12-10 12:23:58.792 +0000,P25,18255,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C98,2020-12-10 12:23:58.792 +0000,P25,7998,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C103,2020-12-10 04:11:58.792 +0000,P08,19265,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C103,2020-12-10 04:11:58.792 +0000,P12,16496,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C105,2020-12-10 01:25:58.792 +0000,P30,3432,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C105,2020-12-10 01:25:58.792 +0000,P28,768,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C105,2020-12-10 01:25:58.792 +0000,P31,10300,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C107,2020-12-09 21:28:58.792 +0000,P14,7302,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C107,2020-12-09 21:28:58.792 +0000,P13,10082,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C110,2020-12-10 02:45:58.792 +0000,P01,8842,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C110,2020-12-10 02:45:58.792 +0000,P01,1725,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C110,2020-12-10 02:45:58.792 +0000,P06,18107,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C117,2020-12-10 12:44:58.792 +0000,P53,14636,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C117,2020-12-10 12:44:58.792 +0000,P42,3931,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C125,2020-12-09 21:37:58.792 +0000,P01,5224,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C125,2020-12-09 21:37:58.792 +0000,P06,17151,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C125,2020-12-09 21:37:58.792 +0000,P02,873,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C126,2020-12-09 20:39:58.792 +0000,P30,5964,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C130,2020-12-10 04:57:58.792 +0000,P52,6897,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C130,2020-12-10 04:57:58.792 +0000,P52,3982,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C130,2020-12-10 04:57:58.792 +0000,P52,3569,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C8,2020-12-10 17:58:32.219 +0000,P26,19966,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C8,2020-12-10 17:58:32.219 +0000,P26,11290,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C10,2020-12-11 08:27:32.219 +0000,P25,18317,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C10,2020-12-11 08:27:32.219 +0000,P27,8919,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C10,2020-12-11 08:27:32.219 +0000,P24,12649,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
C12,2020-12-11 14:08:32.219 +0000,P16,8731,ALL_TRANSACTIONS,2021-10-15 14:47:45.048 +0100
